raw_text,canonical_name,category,subcategory
LINKEDINPREA *95211646 MOUNTAIN VIEWCA,LinkedIn,Professional Services,Professional Development
GITHUB.COM BILLING GITHUB.COM USA,GitHub,Software & Subscriptions,Development Tools
OPENAI.COM NEW YORK NY,OpenAI,Software & Subscriptions,AI Services
DATACAMP INC 929-3529727 NY,DataCamp,Education & Learning,Online Courses
COURSERA COURSES COURSERA.ORG,Coursera,Education & Learning,Online Courses
MICROSOFT *OFFICE365 REDMOND WA,Microsoft 365,Software & Subscriptions,Productivity Software
AWS SERVICES AMAZON.COM USA,Amazon Web Services,Software & Subscriptions,Cloud Services
GOOGLE *CLOUD MOUNTAIN VIEW CA,Google Cloud,Software & Subscriptions,Cloud Services
SLACK TECHNOLOGIES SLACK.COM,Slack,Software & Subscriptions,Productivity Software
FIGMA *DESIGN FIGMA.COM,Figma,Software & Subscriptions,Design Tools
JETBRAINS *INTELLIJ JETBRAINS.COM,JetBrains,Software & Subscriptions,Development Tools
CANVA PRO SUBSCRIPTION CANVA.COM,Canva,Software & Subscriptions,Design Tools
NOTION LABS NOTION.SO,Notion,Software & Subscriptions,Productivity Software
SHOPIFY INC SHOPIFY.COM,Shopify,Software & Subscriptions,E-commerce Platform
GITHUB *COPILOT BILLING,GitHub Copilot,Software & Subscriptions,Development Tools
ANTHROPIC PBC ANTHROPIC.COM,Anthropic,Software & Subscriptions,AI Services
ADOBE CREATIVE CLOUD ADOBE.COM,Adobe,Software & Subscriptions,Design Tools
GOOGLE *WORKSPACE G.CO/PAYHELP,Google Workspace,Software & Subscriptions,Productivity Software
DIGITALOCEAN.COM DIGITALOCEAN.COM,DigitalOcean,Software & Subscriptions,Cloud Services
HEROKU SALESFORCE.COM,Heroku,Software & Subscriptions,Cloud Services
UPWORK FREELANCE UPWORK.COM,Upwork,Professional Services,Freelance Platform
FIVERR SERVICES FIVERR.COM,Fiverr,Professional Services,Freelance Platform
INTUIT *QUICKBOOKS QB.COM,QuickBooks,Professional Services,Accounting Software
ASANA PROJECT MGMT ASANA.COM,Asana,Professional Services,Project Management
HUBSPOT SOFTWARE HUBSPOT.COM,HubSpot,Professional Services,Marketing Software
SALESFORCE.COM SAN FRANCISCO CA,Salesforce,Professional Services,CRM Software
MONDAY.COM MONDAY.COM,Monday.com,Professional Services,Project Management
WAVE ACCOUNTING WAVEAPPS.COM,Wave,Professional Services,Accounting Software
LAWDEPOT *DOCUMENTS LAWDEPOT.CA,LawDepot,Professional Services,Legal Services
TOPTAL TALENT NETWORK TOPTAL.COM,Toptal,Professional Services,Freelance Platform
H&R BLOCK #2847 TORONTO ON,H&R Block,Professional Services,Tax Services
LEGALZOOM.COM LEGALZOOM.COM,LegalZoom,Professional Services,Legal Services
FRESHBOOKS *SUBSCRIPTION FRESHBOOKS.COM,FreshBooks,Professional Services,Accounting Software
ZOOM.US VIDEO CONFERENCING,Zoom,Professional Services,Video Conferencing
DOCUSIGN INC DOCUSIGN.COM,DocuSign,Professional Services,Document Management
SAVE ON FOODS #284 VANCOUVER BC,Save-On-Foods,Food & Dining,Grocery
SAFEWAY #1847 CALGARY AB,Safeway,Food & Dining,Grocery
METRO PLUS #0847 MONTREAL QC,Metro,Food & Dining,Grocery
BC HYDRO EBILL BILLING,BC Hydro,Utilities,Electricity
SASKENERGY PREAUTH PMT,SaskEnergy,Utilities,Natural Gas
MANITOBA HYDRO EBILL,Manitoba Hydro,Utilities,Electricity
TICKETMASTER *BLUEJAYS TORONTO ON,Toronto Blue Jays,Entertainment,Sports Event
TICKETMASTER *RAPTORS SCOTIABANK,Toronto Raptors,Entertainment,Sports Event
ROM TORONTO #GENERAL TORONTO ON,Royal Ontario Museum,Entertainment,Museum
SCIENCE WORLD BC VANCOUVER BC,Science World,Entertainment,Museum
CN TOWER ADMISSION TORONTO ON,CN Tower,Entertainment,Tourist Attraction
BLACKBERRY QNX WATERLOO ON,BlackBerry,Software & Subscriptions,Enterprise Software
WATTPAD PREMIUM WATTPAD.COM,Wattpad,Entertainment,Digital Content
FORTINOS #847 HAMILTON ON,Fortinos,Food & Dining,Grocery
FRESHCO #2847 BRAMPTON ON,FreshCo,Food & Dining,Grocery
PELOTON PELOTON.COM NEW YORK NY,Peloton,Health & Wellness,Fitness Subscription
HEADSPACE MEDITATION HEADSPACE.COM,Headspace,Health & Wellness,Mental Health App
CALM.COM MEDITATION CALM.COM,Calm,Health & Wellness,Mental Health App
BETTERHELP THERAPY BETTERHELP.COM,BetterHelp,Health & Wellness,Mental Health Services
TALKSPACE THERAPY TALKSPACE.COM,Talkspace,Health & Wellness,Mental Health Services
APPLE *FITNESS APPLE.COM/BILL,Apple Fitness,Health & Wellness,Fitness Subscription
MYFITNESSPAL PREMIUM MFP.COM,MyFitnessPal,Health & Wellness,Fitness App
BEACHBODY ON DEMAND BEACHBODY.COM,Beachbody,Health & Wellness,Fitness Subscription
HELLOFRESH MEALS HELLOFRESH.CA,HelloFresh,Food & Dining,Meal Kit Service
GOODFOOD MARKET GOODFOOD.CA,Goodfood,Food & Dining,Meal Kit Service
CHEF'S PLATE CHEFSPLATE.COM,Chef's Plate,Food & Dining,Meal Kit Service
DENTALCORP #2847 MISSISSAUGA ON,Dentalcorp,Health & Wellness,Dental Services
MAPLE TELEMEDICINE GETMAPLE.CA,Maple,Health & Wellness,Telemedicine
OPTOMETRY #847 OTTAWA ON,FYidoctors,Health & Wellness,Vision Care
PHYSIO FIRST CLINIC VANCOUVER BC,Physio First,Health & Wellness,Physical Therapy
AIR CANADA AIRCANADA.COM,Air Canada,Travel & Accommodation,Airline
WESTJET BOOKING WESTJET.COM,WestJet,Travel & Accommodation,Airline
PORTER AIRLINES FLYPORTER.COM,Porter Airlines,Travel & Accommodation,Airline
SUNWING VACATIONS SUNWING.CA,Sunwing,Travel & Accommodation,Airline
JAZZ AVIATION FLYJAZZ.CA,Jazz Aviation,Travel & Accommodation,Airline
AIRBNB *BOOKING AIRBNB.COM,Airbnb,Travel & Accommodation,Lodging
BOOKING.COM AMSTERDAM NL,Booking.com,Travel & Accommodation,Travel Booking
EXPEDIA.CA TRAVEL EXPEDIA.CA,Expedia,Travel & Accommodation,Travel Booking
MARRIOTT HOTEL TORONTO ON,Marriott,Travel & Accommodation,Hotel
HILTON HOTELS VANCOUVER BC,Hilton,Travel & Accommodation,Hotel
IHG *INTERCONTINENTAL MONTREAL QC,IHG,Travel & Accommodation,Hotel
HERTZ RENT A CAR CALGARY AB,Hertz,Travel & Accommodation,Car Rental
ENTERPRISE RENT-A-CAR OTTAWA ON,Enterprise,Travel & Accommodation,Car Rental
BUDGET CAR RENTAL WINNIPEG MB,Budget,Travel & Accommodation,Car Rental
TURO CAR SHARING TURO.COM,Turo,Travel & Accommodation,Car Rental
TD INSURANCE 1-866-361-2311,TD Insurance,Finance,Insurance
INTACT INSURANCE INTACTINSURANCE.COM,Intact Insurance,Finance,Insurance
DESJARDINS INSURANCE DESJARDINS.COM,Desjardins,Finance,Insurance
MANULIFE FINANCIAL MANULIFE.CA,Manulife,Finance,Insurance
WEALTHSIMPLE INVEST WEALTHSIMPLE.COM,Wealthsimple,Finance,Investment Platform
QUESTRADE TRADING QUESTRADE.COM,Questrade,Finance,Investment Platform
INTERACTIVE BROKERS IBKR.COM,Interactive Brokers,Finance,Investment Platform
STRIPE *PAYMENT STRIPE.COM,Stripe,Finance,Payment Processing
SQ *MERCHANT SERVICES SQUAREUP.COM,Square,Finance,Payment Processing
PAYPAL *TRANSFER PAYPAL.COM,PayPal,Finance,Payment Processing
INTERAC E-TRANSFER FEE,Interac,Finance,Payment Service
RBC ROYAL BANK FEE,RBC,Finance,Bank Fee
BMO MONTHLY FEE,BMO,Finance,Bank Fee
SCOTIABANK SERVICE CHARGE,Scotiabank,Finance,Bank Fee
TD CANADA TRUST FEE,TD,Finance,Bank Fee
STEAM GAMES STEAMPOWERED.COM,Steam,Entertainment,Gaming
EPIC GAMES STORE EPICGAMES.COM,Epic Games,Entertainment,Gaming
PLAYSTATION *NETWORK PLAYSTATION.COM,PlayStation Network,Entertainment,Gaming
XBOX *GAME PASS MICROSOFT.COM,Xbox Game Pass,Entertainment,Gaming
NINTENDO *ESHOP NINTENDO.COM,Nintendo,Entertainment,Gaming
TWITCH INTERACTIVE TWITCH.TV,Twitch,Entertainment,Streaming
DRAFTKINGS SPORTSBOOK DRAFTKINGS.COM,DraftKings,Entertainment,Sports Betting
FANDUEL SPORTSBOOK FANDUEL.COM,FanDuel,Entertainment,Sports Betting
BETMGM SPORTSBOOK BETMGM.COM,BetMGM,Entertainment,Sports Betting
AMAZON PRIME VIDEO PRIMEVIDEO.COM,Amazon Prime Video,Entertainment,Streaming
CBC GEM SUBSCRIPTION CBC.CA,CBC Gem,Entertainment,Streaming
CRAVE TV SUBSCRIPTION CRAVE.CA,Crave,Entertainment,Streaming
CRUNCHYROLL PREMIUM CRUNCHYROLL.COM,Crunchyroll,Entertainment,Streaming
U OF T BOOKSTORE TORONTO ON,University of Toronto,Education & Learning,University
UBC BOOKSTORE VANCOUVER BC,University of British Columbia,Education & Learning,University
MCGILL UNIVERSITY MONTREAL QC,McGill University,Education & Learning,University
YORK UNIVERSITY TORONTO ON,York University,Education & Learning,University Tuition
SKILLSHARE CLASSES SKILLSHARE.COM,Skillshare,Education & Learning,Online Courses
MASTERCLASS CLASSES MASTERCLASS.COM,MasterClass,Education & Learning,Online Courses
KHAN ACADEMY DONATION KHANACADEMY.ORG,Khan Academy,Education & Learning,Online Courses
UDEMY COURSES UDEMY.COM,Udemy,Education & Learning,Online Courses
